player_id,start_year,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp
mulhote01,1986,117,211.0,8.0,16.0,2.0,0.0,0.0,3.0,1.0,1.0,4.0,96.0,0.0,1.0,13.0,0.0,5.0
macfami01,1987,484,1456.0,160.0,365.0,92.0,9.0,42.0,195.0,3.0,5.0,102.0,276.0,6.0,31.0,4.0,15.0,35.0
lawva01,1980,612,1908.0,242.0,485.0,91.0,17.0,36.0,213.0,20.0,10.0,209.0,295.0,4.0,5.0,29.0,21.0,45.0
alomasa02,1988,344,1163.0,117.0,306.0,59.0,3.0,18.0,137.0,10.0,9.0,60.0,134.0,7.0,17.0,11.0,11.0,25.0
driesda01,1973,742,2325.0,325.0,647.0,111.0,17.0,58.0,346.0,101.0,34.0,289.0,325.0,28.0,12.0,5.0,23.0,61.0
washicl01,1974,713,2649.0,343.0,741.0,134.0,30.0,46.0,316.0,128.0,68.0,141.0,488.0,29.0,16.0,10.0,24.0,59.0
maynebr01,1990,399,1113.0,104.0,275.0,50.0,3.0,8.0,119.0,6.0,12.0,94.0,170.0,13.0,4.0,18.0,7.0,36.0
reedjo01,1987,715,2658.0,361.0,743.0,180.0,7.0,17.0,227.0,23.0,26.0,319.0,227.0,9.0,16.0,57.0,17.0,68.0
armasto01,1976,560,1954.0,210.0,499.0,65.0,17.0,83.0,286.0,13.0,8.0,94.0,473.0,16.0,7.0,9.0,17.0,47.0
whitfte01,1974,427,1294.0,172.0,370.0,62.0,10.0,22.0,119.0,13.0,18.0,90.0,180.0,12.0,8.0,26.0,11.0,30.0
hershor01,1983,203,372.0,24.0,72.0,11.0,1.0,0.0,27.0,3.0,2.0,11.0,86.0,0.0,2.0,57.0,0.0,3.0
paytoja01,1998,572,1924.0,272.0,559.0,93.0,14.0,69.0,245.0,23.0,24.0,121.0,249.0,4.0,20.0,7.0,14.0,58.0
devermi01,1987,584,2116.0,272.0,547.0,92.0,25.0,63.0,267.0,64.0,42.0,160.0,337.0,3.0,8.0,14.0,20.0,44.0
reynocr01,1975,604,1984.0,204.0,515.0,60.0,25.0,13.0,144.0,29.0,20.0,95.0,157.0,4.0,8.0,73.0,16.0,19.0
youngmi02,2000,743,2985.0,468.0,887.0,150.0,35.0,80.0,373.0,39.0,15.0,205.0,487.0,3.0,8.0,25.0,25.0,68.0
willied01,1986,117,335.0,44.0,83.0,15.0,0.0,7.0,20.0,1.0,3.0,32.0,62.0,5.0,6.0,4.0,4.0,8.0
cookaa01,2002,138,204.0,16.0,28.0,3.0,1.0,0.0,6.0,0.0,0.0,12.0,67.0,0.0,1.0,40.0,0.0,3.0
hilldo01,1983,551,1695.0,197.0,436.0,62.0,11.0,22.0,174.0,20.0,9.0,111.0,171.0,5.0,1.0,36.0,15.0,36.0
hernake01,1974,688,2308.0,373.0,676.0,151.0,28.0,47.0,328.0,35.0,21.0,314.0,321.0,34.0,7.0,6.0,17.0,52.0
flynndo01,1975,750,2190.0,169.0,532.0,59.0,25.0,6.0,180.0,11.0,13.0,101.0,182.0,36.0,1.0,31.0,14.0,56.0
lawtoma02,1995,668,2296.0,352.0,629.0,138.0,13.0,62.0,333.0,77.0,28.0,345.0,289.0,25.0,45.0,1.0,19.0,45.0
zeileto01,1989,723,2567.0,340.0,682.0,143.0,13.0,70.0,372.0,32.0,32.0,328.0,387.0,19.0,10.0,1.0,33.0,66.0
ellsbja01,2007,581,2335.0,384.0,693.0,124.0,23.0,56.0,261.0,189.0,42.0,173.0,319.0,6.0,24.0,13.0,17.0,37.0
howarry01,2004,732,2687.0,465.0,750.0,136.0,11.0,222.0,640.0,10.0,3.0,406.0,878.0,105.0,25.0,0.0,27.0,50.0
callaal01,2006,595,2012.0,227.0,565.0,108.0,14.0,27.0,204.0,18.0,8.0,173.0,175.0,15.0,4.0,3.0,16.0,62.0
diazbo01,1977,344,1074.0,121.0,290.0,65.0,3.0,30.0,167.0,6.0,8.0,62.0,161.0,10.0,4.0,10.0,11.0,42.0
hermadu01,1995,170,219.0,10.0,22.0,4.0,0.0,2.0,6.0,0.0,0.0,17.0,113.0,0.0,1.0,26.0,0.0,0.0
pryorgr01,1976,399,1120.0,125.0,290.0,53.0,7.0,6.0,85.0,8.0,7.0,64.0,103.0,1.0,7.0,25.0,12.0,32.0
gibsoki01,1979,492,1701.0,253.0,465.0,67.0,25.0,69.0,237.0,76.0,34.0,170.0,352.0,12.0,16.0,11.0,15.0,17.0
amezaal01,2002,392,951.0,120.0,237.0,30.0,14.0,9.0,69.0,40.0,23.0,81.0,146.0,4.0,11.0,22.0,6.0,14.0
daultda01,1983,198,517.0,56.0,108.0,19.0,1.0,16.0,57.0,7.0,4.0,88.0,142.0,5.0,1.0,6.0,5.0,4.0
jacksda03,1985,240,487.0,58.0,121.0,22.0,3.0,13.0,49.0,8.0,5.0,23.0,89.0,7.0,1.0,3.0,4.0,6.0
ruthvdi01,1973,170,317.0,20.0,62.0,4.0,3.0,1.0,20.0,1.0,2.0,7.0,97.0,0.0,1.0,33.0,0.0,4.0
kingje01,1989,617,2125.0,267.0,539.0,110.0,10.0,51.0,295.0,25.0,20.0,171.0,247.0,13.0,10.0,15.0,32.0,50.0
mosebll01,1980,822,2969.0,424.0,779.0,149.0,41.0,81.0,384.0,129.0,53.0,287.0,575.0,27.0,30.0,25.0,26.0,55.0
oquenjo01,1983,541,1354.0,151.0,349.0,35.0,2.0,9.0,110.0,28.0,23.0,155.0,175.0,21.0,4.0,26.0,13.0,29.0
drewjd01,1998,597,1897.0,355.0,535.0,86.0,18.0,96.0,280.0,59.0,19.0,271.0,413.0,12.0,27.0,16.0,13.0,27.0
faheybi01,1971,106,260.0,24.0,55.0,5.0,1.0,2.0,22.0,5.0,0.0,24.0,40.0,0.0,2.0,5.0,0.0,6.0
dunnad01,2001,821,2832.0,519.0,695.0,151.0,6.0,198.0,466.0,48.0,16.0,574.0,927.0,60.0,46.0,2.0,12.0,38.0
konerpa01,1997,673,2413.0,349.0,692.0,131.0,5.0,111.0,410.0,3.0,1.0,207.0,343.0,8.0,33.0,1.0,23.0,86.0
martiti02,1990,543,1896.0,250.0,502.0,106.0,6.0,88.0,312.0,3.0,6.0,198.0,309.0,35.0,12.0,10.0,23.0,52.0
valenel01,1975,616,2275.0,289.0,660.0,133.0,11.0,92.0,343.0,56.0,28.0,144.0,319.0,9.0,6.0,4.0,18.0,59.0
vandejo02,1991,532,851.0,106.0,214.0,36.0,11.0,25.0,125.0,14.0,7.0,103.0,176.0,11.0,2.0,0.0,6.0,15.0
